CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,LoanEligibility,CustomerSegment,Age_Transformed
15634602,Hargrave,619,France,Female,42,2,0.0,1,Yes,Yes,101348.88,Yes,Yes,2,DIAMOND,464,Not Eligible,Basic,6.48
15647311,Hill,608,Spain,Female,41,1,83807.86,1,No,Yes,112542.58,No,Yes,3,DIAMOND,456,Not Eligible,Gold,6.4
15619304,Onio,502,France,Female,42,8,159660.8,3,Yes,No,113931.57,Yes,Yes,3,DIAMOND,377,Not Eligible,Premium,6.48
15701354,Boni,699,France,Female,39,1,0.0,2,No,No,93826.63,No,No,5,GOLD,350,Not Eligible,Basic,6.24
15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,Yes,Yes,79084.1,No,No,5,GOLD,425,Eligible,Premium,6.56
15574012,Chu,645,Spain,Male,44,8,113755.78,2,Yes,No,149756.71,Yes,Yes,5,DIAMOND,484,Not Eligible,Premium,6.63
15592531,Bartlett,822,France,Male,50,7,0.0,2,Yes,Yes,10062.8,No,No,2,SILVER,206,Not Eligible,Basic,7.07
15656148,Obinna,376,Germany,Female,29,4,115046.74,4,Yes,No,119346.88,Yes,Yes,2,DIAMOND,282,Not Eligible,Premium,5.39
15792365,He,501,France,Male,44,4,142051.07,2,No,Yes,74940.5,No,No,3,GOLD,251,Not Eligible,Premium,6.63
15592389,H,684,France,Male,27,2,134603.88,1,Yes,Yes,71725.73,No,No,3,GOLD,342,Not Eligible,Premium,5.2
15767821,Bearce,528,France,Male,31,6,102016.72,2,No,No,80181.12,No,No,3,GOLD,264,Not Eligible,Premium,5.57
15737173,Andrews,497,Spain,Male,24,3,0.0,2,Yes,No,76390.01,No,No,3,GOLD,249,Not Eligible,Basic,4.9
15632264,Kay,476,France,Female,34,10,0.0,2,Yes,No,26260.98,No,No,3,SILVER,119,Not Eligible,Basic,5.83
15691483,Chin,549,France,Female,25,5,0.0,2,No,No,190857.79,No,No,3,PLATINUM,549,Not Eligible,Basic,5.0
15600882,Scott,635,Spain,Female,35,7,0.0,2,Yes,Yes,65951.65,No,No,2,GOLD,318,Not Eligible,Basic,5.92
15643966,Goforth,616,Germany,Male,45,3,143129.41,2,No,Yes,64327.26,No,No,5,GOLD,308,Not Eligible,Premium,6.71
15737452,Romeo,653,Germany,Male,58,1,132602.88,1,Yes,No,5097.67,Yes,No,2,SILVER,163,Not Eligible,Premium,7.62
15788218,Henderson,549,Spain,Female,24,9,0.0,2,Yes,Yes,14406.41,No,No,3,SILVER,544,Not Eligible,Basic,4.9
15661507,Muldrow,587,Spain,Male,45,6,0.0,1,No,No,158684.81,No,No,3,PLATINUM,732,Not Eligible,Basic,6.71
15568982,Hao,726,France,Female,24,6,0.0,2,Yes,Yes,54724.03,No,No,4,GOLD,477,Not Eligible,Basic,4.9
15577657,McDonald,732,France,Male,41,8,0.0,2,Yes,Yes,170886.17,No,No,3,PLATINUM,568,Not Eligible,Basic,6.4
15597945,Dellucci,636,Spain,Female,32,8,0.0,2,Yes,No,138555.46,No,No,2,DIAMOND,336,Not Eligible,Basic,5.66
15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,Yes,No,118913.53,Yes,Yes,2,DIAMOND,887,Not Eligible,Basic,6.16
15725737,Mosman,669,France,Male,46,3,0.0,2,No,Yes,8487.75,No,No,2,SILVER,665,Not Eligible,Basic,6.78
15625047,Yen,846,France,Female,38,5,0.0,1,Yes,Yes,187616.16,No,No,3,PLATINUM,225,Not Eligible,Basic,6.16
15738191,Maclean,577,France,Male,25,3,0.0,2,No,Yes,124508.29,No,No,3,PLATINUM,659,Not Eligible,Basic,5.0
15736816,Young,756,Germany,Male,36,2,136815.64,1,Yes,Yes,170041.95,No,No,5,DIAMOND,236,Not Eligible,Premium,6.0
15700772,Nebechi,571,France,Male,44,9,0.0,2,No,No,38433.35,No,No,4,PLATINUM,448,Not Eligible,Basic,6.63
15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,Yes,Yes,100187.43,No,No,5,DIAMOND,499,Not Eligible,Premium,6.56
15656300,Lucciano,411,France,Male,29,0,59697.17,2,Yes,Yes,53483.21,No,No,2,GOLD,343,Not Eligible,Gold,5.39
15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,Yes,No,140469.38,Yes,Yes,3,DIAMOND,298,Not Eligible,Basic,6.24
15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,No,Yes,156731.91,No,No,5,SILVER,628,Not Eligible,Gold,6.0
15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,No,No,81898.81,No,No,3,GOLD,611,Not Eligible,Premium,6.4
15659428,Maggard,520,Spain,Female,42,6,0.0,2,Yes,Yes,34410.55,No,No,2,SILVER,922,Not Eligible,Basic,6.48
15732963,Clements,722,Spain,Female,29,9,0.0,2,Yes,Yes,142033.07,No,No,5,PLATINUM,276,Not Eligible,Basic,5.39
15794171,Lombardo,475,France,Female,45,0,134264.04,1,Yes,No,27822.99,Yes,Yes,1,DIAMOND,877,Not Eligible,Premium,6.71
15788448,Watson,490,Spain,Male,31,3,145260.23,1,No,Yes,114066.77,No,No,4,SILVER,471,Not Eligible,Premium,5.57
15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,No,Yes,98453.45,No,No,2,GOLD,994,Not Eligible,Gold,5.74
15717426,Armstrong,850,France,Male,36,7,0.0,1,Yes,Yes,40812.9,No,No,3,GOLD,944,Eligible,Basic,6.0
15585768,Cameron,582,Germany,Male,41,6,70349.48,2,No,Yes,178074.04,No,No,5,GOLD,419,Not Eligible,Gold,6.4
15619360,Hsiao,472,Spain,Male,40,4,0.0,1,Yes,No,70154.22,No,No,4,DIAMOND,545,Not Eligible,Basic,6.32
15738148,Clarke,465,France,Female,51,8,122522.32,1,No,No,181297.65,Yes,Yes,5,SILVER,828,Not Eligible,Premium,7.14
15687946,Osborne,556,France,Female,61,2,117419.35,1,Yes,Yes,94153.83,No,No,3,PLATINUM,789,Not Eligible,Premium,7.81
15755196,Lavine,834,France,Female,49,2,131394.56,1,No,No,194365.76,Yes,Yes,2,GOLD,567,Not Eligible,Premium,7.0
15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,Yes,Yes,158338.39,No,No,1,PLATINUM,884,Not Eligible,Premium,7.81
15754849,Tyler,776,Germany,Female,32,4,109421.13,2,Yes,Yes,126517.46,No,No,1,SILVER,296,Not Eligible,Premium,5.66
15602280,Martin,829,Germany,Female,27,9,112045.67,1,Yes,Yes,119708.21,Yes,Yes,3,DIAMOND,779,Not Eligible,Premium,5.2
15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,Yes,Yes,117622.8,Yes,Yes,1,SILVER,730,Not Eligible,Premium,6.24
15766205,Yin,550,Germany,Male,38,2,103391.38,1,No,Yes,90878.13,No,No,3,DIAMOND,960,Not Eligible,Premium,6.16
15771873,Buccho,776,Germany,Female,37,2,103769.22,2,Yes,No,194099.12,No,No,1,SILVER,268,Not Eligible,Premium,6.08
15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,Yes,No,198059.16,No,No,4,SILVER,829,Not Eligible,Premium,6.63
15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,No,No,86424.57,No,No,3,SILVER,665,Not Eligible,Premium,6.0
15683553,OBrien,788,France,Female,33,5,0.0,2,No,No,116978.19,No,No,3,GOLD,982,Not Eligible,Basic,5.74
15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,No,No,164040.94,Yes,Yes,3,SILVER,343,Not Eligible,Premium,6.4
15569590,Yoo,601,Germany,Male,42,1,98495.72,1,Yes,No,40014.76,Yes,Yes,2,DIAMOND,225,Not Eligible,Gold,6.48
15760861,Phillipps,619,France,Male,43,1,125211.92,1,Yes,Yes,113410.49,No,No,5,SILVER,657,Not Eligible,Premium,6.56
15630053,Tsao,656,France,Male,45,5,127864.4,1,Yes,No,87107.57,No,No,2,PLATINUM,221,Not Eligible,Premium,6.71
15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,No,No,45613.75,No,No,2,PLATINUM,406,Not Eligible,Gold,4.36
15623944,Tien,511,Spain,Female,66,4,0.0,1,Yes,No,1643.11,Yes,Yes,5,SILVER,549,Not Eligible,Basic,8.12
15804771,Velazquez,614,France,Male,51,4,40685.92,1,Yes,Yes,46775.28,No,No,4,PLATINUM,954,Not Eligible,Basic,7.14
15651280,Hunter,742,Germany,Male,35,5,136857.0,1,No,No,84509.57,No,No,4,GOLD,823,Not Eligible,Premium,5.92
15773469,Clark,687,Germany,Female,27,9,152328.88,2,No,No,126494.82,No,No,5,DIAMOND,769,Not Eligible,Premium,5.2
15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,No,No,178798.13,No,No,5,PLATINUM,481,Not Eligible,Gold,5.74
15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,Yes,Yes,99398.36,No,No,4,SILVER,903,Not Eligible,Gold,7.48
15592461,Jackson,603,Germany,Male,26,4,109166.37,1,Yes,Yes,92840.67,No,No,3,PLATINUM,882,Not Eligible,Premium,5.1
15789484,Hammond,751,Germany,Female,36,6,169831.46,2,Yes,Yes,27758.36,No,Yes,5,GOLD,379,Not Eligible,Premium,6.0
15696061,Brownless,581,Germany,Female,34,1,101633.04,1,Yes,No,110431.51,No,Yes,3,PLATINUM,469,Not Eligible,Premium,5.83
15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,Yes,Yes,196673.28,No,Yes,3,PLATINUM,683,Not Eligible,Premium,6.56
15638424,Glauert,661,Germany,Female,35,5,150725.53,2,No,Yes,113656.85,No,Yes,1,GOLD,770,Not Eligible,Premium,5.92
15755648,Pisano,675,France,Female,21,8,98373.26,1,Yes,No,18203.0,No,No,5,SILVER,985,Not Eligible,Gold,4.58
15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,Yes,No,28373.86,Yes,Yes,4,GOLD,725,Not Eligible,Premium,7.62
15620344,McKee,813,France,Male,29,6,0.0,1,Yes,No,33953.87,No,No,3,PLATINUM,259,Not Eligible,Basic,5.39
15812518,Palermo,657,Spain,Female,37,0,163607.18,1,No,Yes,44203.55,No,No,2,GOLD,979,Not Eligible,Premium,6.08
15779052,Ballard,604,Germany,Female,25,5,157780.84,2,Yes,Yes,58426.81,No,No,2,SILVER,988,Not Eligible,Premium,5.0
15770811,Wallace,519,France,Male,36,9,0.0,2,No,Yes,145562.4,No,No,2,PLATINUM,833,Not Eligible,Basic,6.0
15780961,Cavenagh,735,France,Female,21,1,178718.19,2,Yes,No,22388.0,No,No,1,PLATINUM,527,Not Eligible,Premium,4.58
15614049,Hu,664,France,Male,55,8,0.0,2,Yes,Yes,139161.64,No,No,5,SILVER,220,Not Eligible,Basic,7.42
15662085,Read,678,France,Female,32,9,0.0,1,Yes,Yes,148210.64,No,No,4,GOLD,983,Not Eligible,Basic,5.66
15575185,Bushell,757,Spain,Male,33,5,77253.22,1,No,Yes,194239.63,No,No,3,SILVER,582,Not Eligible,Gold,5.74
15803136,Postle,416,Germany,Female,41,10,122189.66,2,Yes,No,98301.61,No,No,3,SILVER,281,Not Eligible,Premium,6.4
15706021,Buley,665,France,Female,34,1,96645.54,2,No,No,171413.66,No,No,3,DIAMOND,798,Not Eligible,Gold,5.83
15663706,Leonard,777,France,Female,32,2,0.0,1,Yes,No,136458.19,Yes,Yes,5,SILVER,917,Not Eligible,Basic,5.66
15641732,Mills,543,France,Female,36,3,0.0,2,No,No,26019.59,No,No,2,DIAMOND,255,Not Eligible,Basic,6.0
15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,Yes,Yes,159235.29,No,No,4,SILVER,511,Not Eligible,Gold,5.83
15738751,Beit,493,France,Female,46,4,0.0,2,Yes,No,1907.66,No,No,1,SILVER,498,Not Eligible,Basic,6.78
15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,Yes,Yes,114675.75,No,No,5,DIAMOND,651,Not Eligible,Basic,8.66
15762418,Gant,750,Spain,Male,22,3,121681.82,1,Yes,No,128643.35,Yes,Yes,2,SILVER,852,Not Eligible,Premium,4.69
15625759,Rowley,729,France,Male,30,9,0.0,2,Yes,No,151869.35,No,No,1,DIAMOND,807,Not Eligible,Basic,5.48
15622897,Sharpe,646,France,Female,46,4,0.0,3,Yes,No,93251.42,Yes,Yes,3,PLATINUM,470,Not Eligible,Basic,6.78
15767954,Osborne,635,Germany,Female,28,3,81623.67,2,Yes,Yes,156791.36,No,No,1,DIAMOND,659,Not Eligible,Gold,5.29
15757535,Heap,647,Spain,Female,44,5,0.0,3,Yes,Yes,174205.22,Yes,Yes,3,DIAMOND,752,Not Eligible,Basic,6.63
15731511,Ritchie,808,France,Male,45,7,118626.55,2,Yes,No,147132.46,No,No,1,SILVER,559,Not Eligible,Premium,6.71
15809248,Cole,524,France,Female,36,10,0.0,2,Yes,No,109614.57,No,No,2,GOLD,375,Not Eligible,Basic,6.0
15640635,Capon,769,France,Male,29,8,0.0,2,Yes,Yes,172290.61,No,No,2,DIAMOND,411,Not Eligible,Basic,5.39
15676966,Capon,730,Spain,Male,42,4,0.0,2,No,Yes,85982.47,No,No,4,DIAMOND,722,Not Eligible,Basic,6.48
15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,No,Yes,121277.78,No,No,1,GOLD,231,Not Eligible,Premium,5.92
15738721,Graham,773,Spain,Male,41,9,102827.44,1,No,Yes,64595.25,No,No,5,DIAMOND,488,Not Eligible,Premium,6.4
15693683,Yuille,814,Germany,Male,29,8,97086.4,2,Yes,Yes,197276.13,No,No,2,GOLD,965,Not Eligible,Gold,5.39
15604348,Allard,710,Spain,Male,22,8,0.0,2,No,No,99645.04,No,No,4,SILVER,289,Not Eligible,Basic,4.69
15633059,Fanucci,413,France,Male,34,9,0.0,2,No,No,6534.18,No,No,1,PLATINUM,449,Not Eligible,Basic,5.83
15808582,Fu,665,France,Female,40,6,0.0,1,Yes,Yes,161848.03,No,No,2,SILVER,651,Not Eligible,Basic,6.32
